DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1145/3611058,"Wallner, G\{u}nter, Wang, Letian, Dormann, Claire","Alex, Henry",Interaction grouping,Visualization of League of Legend games. It is essentially a categorization into regions of the map. The iStoryline framework is used to generate visualizations. But it does not really seem that aesthetic crteria have been optimized.,Movement data - games,User study,No,Yes,Yes,None,None,ACM,"Exclude - Categorization, Exclude - unclear, Locations","Discrete, Persistent characters",Visualizing the Spatio-Temporal Evolution of Gameplay using Storyline Visualization: A Study with League of Legends,https://doi.org/10.1145/3611058,Proc. ACM Hum.-Comput. Interact.,"Labels - annotations, Labels - events, Locations",2023
10.1145/3745238.3745452,"Ye, Xiaojun, Zhang, Genhai, Zhu, Xiaohong, Li, Lei",Henry,,,,,No,No,No,,,ACM,,,Research on the Design of Multimodal AI-Driven Visual Narrative Recommendation System for Cross-border E-commerce,https://doi.org/10.1145/3745238.3745452,Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area International Conference on Digital Economy and Artificial Intelligence,,2025
10.1145/3313831.3376887,"Heyer, Jeremy, Raveendranath, Nirmal Kumar, Reda, Khairi",Henry,,,,,No,No,No,,,ACM,,,Pushing the (Visual) Narrative: The Effects of Prior Knowledge Elicitation in Provocative Topics,https://doi.org/10.1145/3313831.3376887,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,,2020
10.1145/3633519,"Wang, Yunchao, Sun, Guodao, Zhu, Zihao, Li, Tong, Chen, Ling, Liang, Ronghua","Alex, Henry","Discrete coordinates, Interaction grouping","Multi-objective optimization ILP, where characters have discrete coordinates. Crossing minimization is main objective. Further, the objective can also contain sum of squared distance between pairs that are in an entity-entity relationship at that time. That is, events consist of multiple entitiy-entity relationships which are explicitly visualized in a matrix. In their evaluation, they only minimize crossings though.","Movement data - sport, Movies/Books",User study,No,Yes,Yes,Exact - ILP,"Crossings - pair crossings, Proximity - Entity pair squared distance",ACM,Entity pair relationship visualization,"Discrete, Persistent characters",E2Storyline: Visualizing the Relationship with Triplet Entities and Event Discovery,https://doi.org/10.1145/3633519,ACM Trans. Intell. Syst. Technol.,"Labels - characters, Pair relationship matrix",2024
10.1145/3290605.3300844,"Curran, Max T., Gordon, Jeremy Raboff, Lin, Lily, Sridhar, Priyashri Kamlesh, Chuang, John",Henry,,,,,No,No,No,,,ACM,,,"Understanding Digitally-Mediated Empathy: An Exploration of Visual, Narrative, and Biosensory Informational Cues",https://doi.org/10.1145/3290605.3300844,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,,2019
10.20380/GI2018.05,"Padia, Kalpesh, Bandara, Kaveen Herath, Healey, Christopher G.","Alex, Henry",Interaction grouping,Barycenter heuristic for crossing minimization.,Hierarchical task networks,"Look at picture (paper says case study), Quantitative - only runtime",No,Yes,Yes,Heuristic - Sugiyama-like ordering,Crossings - pair crossings,ACM,Encoding multiple timelines,"Discrete, Non-persistent characters",Yarn: Generating Storyline Visualizations Using HTN Planning,https://doi.org/10.20380/GI2018.05,Proceedings of the 44th Graphics Interface Conference,"Labels - characters, Multiple timeline encoding",2018
10.1145/3184558.3191557,"Rossi, Luca, Boscaro, Eric, Torsello, Andrea",Henry,,,,,No,No,No,,,ACM,,,Venice through the Lens of Instagram: A Visual Narrative of Tourism in Venice,https://doi.org/10.1145/3184558.3191557,Companion Proceedings of the The Web Conference 2018,,2018
10.1145/3757749.3757836,"Yuan, Xinwei, Han, Rui",Henry,,,,,No,No,No,,,ACM,,,A Bibliometric and Visualization Analysis of Generative AI Research in China: Based on Literature from CNKI Database,https://doi.org/10.1145/3757749.3757836,Proceedings of the 2025 2nd International Conference on Computer and Multimedia Technology,,2025
10.1145/3615522.3615524,"Wang, Liangwei, Wang, Zhan, Zhao, Xi, Zeng, Wei",Henry,,,,,No,No,No,,,ACM,,,Storytelling in Frozen Frontier: Exploring Graphic-Based Approach for Creating Interactive Story Maps in Antarctica,https://doi.org/10.1145/3615522.3615524,Proceedings of the 16th International Symposium on Visual Information Communication and Interaction,,2023
10.1145/3555776.3577660,"Nguyen, Tra My, Jung, Jason J.",Henry,,,,,No,No,No,,,ACM,,,SocioPedia: Visualizing Social Knowledge over Time,https://doi.org/10.1145/3555776.3577660,Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,,2023
